source,target,tgt_lng
Drops,更新,zh-CN
Drop,更新,zh-CN
Acacia Button,金合欢木按钮,zh-CN
Acacia Door,金合欢木门,zh-CN
Acacia Fence,金合欢木栅栏,zh-CN
Acacia Fence Gate,金合欢木栅栏门,zh-CN
Acacia Hanging Sign,悬挂式金合欢木告示牌,zh-CN
Acacia Leaves,金合欢树叶,zh-CN
Acacia Log,金合欢原木,zh-CN
Acacia Planks,金合欢木板,zh-CN
Acacia Pressure Plate,金合欢木压力板,zh-CN
Acacia Sapling,金合欢树苗,zh-CN
Acacia Shelf,金合欢木展示架,zh-CN
Acacia Sign,金合欢木告示牌,zh-CN
Acacia Slab,金合欢木台阶,zh-CN
Acacia Stairs,金合欢木楼梯,zh-CN
Acacia Trapdoor,金合欢木活板门,zh-CN
Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌,zh-CN
Acacia Wall Sign,墙上的金合欢木告示牌,zh-CN
Acacia Wood,金合欢木,zh-CN
Activator Rail,激活铁轨,zh-CN
Air,空气,zh-CN
Allium,绒球葱,zh-CN
Amethyst Bud,紫晶芽,zh-CN
Amethyst Cluster,紫水晶簇,zh-CN
Ancient Debris,远古残骸,zh-CN
Andesite,安山岩,zh-CN
Andesite Slab,安山岩台阶,zh-CN
Andesite Stairs,安山岩楼梯,zh-CN
Andesite Wall,安山岩墙,zh-CN
Anvil,铁砧,zh-CN
Attached Melon Stem,结果的西瓜茎,zh-CN
Attached Pumpkin Stem,结果的南瓜茎,zh-CN
Azalea,杜鹃花丛,zh-CN
Azalea Leaves,杜鹃树叶,zh-CN
Azure Bluet,蓝花美耳草,zh-CN
Bamboo,竹子,zh-CN
Bamboo Button,竹按钮,zh-CN
Bamboo Door,竹门,zh-CN
Bamboo Fence,竹栅栏,zh-CN
Bamboo Fence Gate,竹栅栏门,zh-CN
Bamboo Hanging Sign,悬挂式竹告示牌,zh-CN
Bamboo Mosaic,竹马赛克,zh-CN
Bamboo Mosaic Slab,竹马赛克台阶,zh-CN
Bamboo Mosaic Stairs,竹马赛克楼梯,zh-CN
Bamboo Planks,竹板,zh-CN
Bamboo Pressure Plate,竹压力板,zh-CN
Bamboo Shelf,竹展示架,zh-CN
Bamboo Shoot,竹笋,zh-CN
Bamboo Sign,竹告示牌,zh-CN
Bamboo Slab,竹台阶,zh-CN
Bamboo Stairs,竹楼梯,zh-CN
Bamboo Trapdoor,竹活板门,zh-CN
Bamboo Wall Hanging Sign,墙上的悬挂式竹告示牌,zh-CN
Bamboo Wall Sign,墙上的竹告示牌,zh-CN
Banner,旗帜,zh-CN
Barrel,木桶,zh-CN
Barrier,屏障,zh-CN
Basalt,玄武岩,zh-CN
Beacon,信标,zh-CN
Bed,床,zh-CN
Bedrock,基岩,zh-CN
Bee Nest,蜂巢,zh-CN
Beehive,蜂箱,zh-CN
Beetroots,甜菜根,zh-CN
Bell,钟,zh-CN
Big Dripleaf,大型垂滴叶,zh-CN
Big Dripleaf Stem,大型垂滴叶茎,zh-CN
Birch Button,白桦木按钮,zh-CN
Birch Door,白桦木门,zh-CN
Birch Fence,白桦木栅栏,zh-CN
Birch Fence Gate,白桦木栅栏门,zh-CN
Birch Hanging Sign,悬挂式白桦木告示牌,zh-CN
Birch Leaves,白桦树叶,zh-CN
Birch Log,白桦原木,zh-CN
Birch Planks,白桦木板,zh-CN
Birch Pressure Plate,白桦木压力板,zh-CN
Birch Sapling,白桦树苗,zh-CN
Birch Shelf,白桦木展示架,zh-CN
Birch Sign,白桦木告示牌,zh-CN
Birch Slab,白桦木台阶,zh-CN
Birch Stairs,白桦木楼梯,zh-CN
Birch Trapdoor,白桦木活板门,zh-CN
Birch Wall Hanging Sign,墙上的悬挂式白桦木告示牌,zh-CN
Birch Wall Sign,墙上的白桦木告示牌,zh-CN
Birch Wood,白桦木,zh-CN
Black Banner,黑色旗帜,zh-CN
Black Bed,黑色床,zh-CN
Black Candle,黑色蜡烛,zh-CN
Black Carpet,黑色地毯,zh-CN
Black Concrete,黑色混凝土,zh-CN
Black Concrete Powder,黑色混凝土粉末,zh-CN
Black Glazed Terracotta,黑色带釉陶瓦,zh-CN
Black Shulker Box,黑色潜影盒,zh-CN
Black Stained Glass,黑色染色玻璃,zh-CN
Black Stained Glass Pane,黑色染色玻璃板,zh-CN
Black Terracotta,黑色陶瓦,zh-CN
Black Wall Banner,墙上的黑色旗帜,zh-CN
Black Wool,黑色羊毛,zh-CN
Blackstone,黑石,zh-CN
Blackstone Slab,黑石台阶,zh-CN
Blackstone Stairs,黑石楼梯,zh-CN
Blackstone Wall,黑石墙,zh-CN
Blast Furnace,高炉,zh-CN
Block of Amethyst,紫水晶块,zh-CN
Block of Bamboo,竹块,zh-CN
Block of Coal,煤炭块,zh-CN
Block of Copper,铜块,zh-CN
Block of Diamond,钻石块,zh-CN
Block of Emerald,绿宝石块,zh-CN
Block of Gold,金块,zh-CN
Block of Iron,铁块,zh-CN
Block of Lapis Lazuli,青金石块,zh-CN
Block of Netherite,下界合金块,zh-CN
Block of Quartz,石英块,zh-CN
Block of Raw Copper,粗铜块,zh-CN
Block of Raw Gold,粗金块,zh-CN
Block of Raw Iron,粗铁块,zh-CN
Block of Redstone,红石块,zh-CN
Block of Resin,树脂块,zh-CN
Block of Stripped Bamboo,去皮竹块,zh-CN
Blue Banner,蓝色旗帜,zh-CN
Blue Bed,蓝色床,zh-CN
Blue Candle,蓝色蜡烛,zh-CN
Blue Carpet,蓝色地毯,zh-CN
Blue Concrete,蓝色混凝土,zh-CN
Blue Concrete Powder,蓝色混凝土粉末,zh-CN
Blue Glazed Terracotta,蓝色带釉陶瓦,zh-CN
Blue Ice,蓝冰,zh-CN
Blue Orchid,兰花,zh-CN
Blue Shulker Box,蓝色潜影盒,zh-CN
Blue Stained Glass,蓝色染色玻璃,zh-CN
Blue Stained Glass Pane,蓝色染色玻璃板,zh-CN
Blue Terracotta,蓝色陶瓦,zh-CN
Blue Wall Banner,墙上的蓝色旗帜,zh-CN
Blue Wool,蓝色羊毛,zh-CN
Bone Block,骨块,zh-CN
Bookshelf,书架,zh-CN
Brain Coral,脑纹珊瑚,zh-CN
Brain Coral Block,脑纹珊瑚块,zh-CN
Brain Coral Fan,脑纹珊瑚扇,zh-CN
Brain Coral Wall Fan,墙上的脑纹珊瑚扇,zh-CN
Brewing Stand,酿造台,zh-CN
Brick Slab,红砖台阶,zh-CN
Brick Stairs,红砖楼梯,zh-CN
Brick Wall,红砖墙,zh-CN
Bricks,红砖块,zh-CN
Brown Banner,棕色旗帜,zh-CN
Brown Bed,棕色床,zh-CN
Brown Candle,棕色蜡烛,zh-CN
Brown Carpet,棕色地毯,zh-CN
Brown Concrete,棕色混凝土,zh-CN
Brown Concrete Powder,棕色混凝土粉末,zh-CN
Brown Glazed Terracotta,棕色带釉陶瓦,zh-CN
Brown Mushroom,棕色蘑菇,zh-CN
Brown Mushroom Block,棕色蘑菇方块,zh-CN
Brown Shulker Box,棕色潜影盒,zh-CN
Brown Stained Glass,棕色染色玻璃,zh-CN
Brown Stained Glass Pane,棕色染色玻璃板,zh-CN
Brown Terracotta,棕色陶瓦,zh-CN
Brown Wall Banner,墙上的棕色旗帜,zh-CN
Brown Wool,棕色羊毛,zh-CN
Bubble Column,气泡柱,zh-CN
Bubble Coral,气泡珊瑚,zh-CN
Bubble Coral Block,气泡珊瑚块,zh-CN
Bubble Coral Fan,气泡珊瑚扇,zh-CN
Bubble Coral Wall Fan,墙上的气泡珊瑚扇,zh-CN
Budding Amethyst,紫水晶母岩,zh-CN
